Practice,Area,Capability,Level 1 – Initial / Ad Hoc,Level 2 – Developing,Level 3 – Defined & Repeatable,Level 4 – Managed & Optimized,Level 5 – Scalable & Autonomous
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,No consistent approach or tooling; ingestion is manual or script-based.,"Some tools are in place, but architecture varies by use case or team.","Unified tooling (e.g., Airbyte, Kafka) adopted across multiple teams.",Framework is standardized org-wide; ingestion workflows are templatized and automated.,Highly scalable ingestion framework with self-service onboarding and pipeline templating.
Data Engineering,Data Ingestion,Data Source Coverage,Only a few critical sources ingested.,Most internal systems ingested; third-party/SaaS sources are handled manually.,"Broad source coverage, including key SaaS apps and internal systems.",Ingestion covers 90%+ of business-critical systems with known gaps tracked.,All data sources are onboarded via catalog and templates; onboarding SLAs are met consistently.
Data Engineering,Data Ingestion,Change Data Capture (CDC),Full table refreshes; no change detection logic.,"Partial CDC implemented for high-volume tables, often custom and fragile.","CDC supported for most key sources (e.g., Fivetran, Debezium); schema drift manually handled.","Schema changes are detected, versioned, and handled gracefully; lineage maintained.",Dynamic CDC with schema evolution support; zero-downtime deployments; fully automated.
Data Engineering,Data Ingestion,Monitoring & Alerting,No monitoring or alerts; ingestion breaks discovered manually.,Basic job-level alerting via cron or scripts.,"Automated monitoring and alerting (e.g., Airflow, Datadog) with email or Slack notifications.",SLA/SLOs tracked; alerts include root-cause hints; teams receive daily observability reports.,Predictive anomaly detection and auto-remediation; issue resolution is logged and traced.
Data Engineering,Data Ingestion,Validation & Quality Checks,No validation on incoming data.,"Occasional checks (row counts, duplicates) done manually.",Row-level and schema validation implemented for major pipelines.,Validation rules are version-controlled and centrally managed; bad records quarantined.,Rule-based validation is fully automated; exceptions routed to owners with suggested fixes.
Data Engineering,Data Ingestion,Metadata & Lineage,Ingested datasets are undocumented; unclear where data came from.,"Partial lineage exists, usually in notebooks or tribal knowledge.","Lineage tracked using tools like dbt, Marquez, or internal metadata store.",Metadata cataloged and searchable; ingestion status visible to all teams.,Metadata ingestion is automated and updated in real-time with fine-grained lineage and impact analysis.
Data Engineering,Data Ingestion,Security & Compliance,Credentials hardcoded or shared; no handling of PII or compliance.,"Basic security (e.g., secrets manager) in place; PII flagged manually.","Secure access patterns, IAM roles, and PII masking implemented for ingestion.",Compliance auditing integrated into pipelines; data governance tools support tracking.,"Full encryption, masking, and compliance validation baked into ingestion; access reviews are automated."
Data Engineering,Data Ingestion,Operational Maturity,Ingestion scripts owned by individuals; no standards.,Teams reuse some scripts; onboarding new sources takes weeks.,Ingestion is templated; onboarding new sources takes days.,Central team owns ingestion framework; onboarding SLAs defined; config stored in Git.,Self-service ingestion flows allow teams to onboard sources in hours; IaC and CI/CD integrated.
Data Engineering,Data Storage & Warehousing,Architecture & Design,No defined architecture; storage systems chosen ad hoc.,Basic architecture exists but not standardized.,Centralized warehouse/lakehouse design adopted across teams.,"Tiered architecture in place (raw, curated, modeled) with data lifecycle separation.","Highly modular, decoupled architecture with strong governance and separation of concerns."
Data Engineering,Data Storage & Warehousing,Schema Management & Modeling,Schemas evolve without planning; documentation absent.,"Partial modeling approach used inconsistently (e.g., star schema).","Standardized modeling approach (e.g., dbt, Data Vault) adopted org-wide.","Schemas are versioned, documented, and integrated with CI/CD.","Full modeling lifecycle managed as code, with validations, lineage, and semantic layer integration."
Data Engineering,Data Storage & Warehousing,Partitioning & Performance Design,No partitioning or indexing used; queries slow on large data.,Basic partitioning and manual tuning on large tables.,"Common performance optimizations applied (e.g., clustering, materialized views).","Performance is proactively managed via query profiling, usage monitoring, and refactoring.",Automatic partitioning/tiering based on workload; performance optimization is continuous and observable.
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost,Storage unmanaged; no cost visibility or archiving strategy.,Manual management of growing storage costs and cold data.,Storage monitoring and data tiering practices in place.,Archived and cold data managed automatically; usage monitored for cost optimization.,"Cost is forecasted, simulated, and programmatically optimized across platforms and compute models."
Data Engineering,Data Storage & Warehousing,Access Control & Permissions,Permissions managed manually; no visibility into who accesses what.,Role-based access partially implemented.,"Fine-grained access (RBAC, row-level security) consistently enforced.",Auditable access logs exist; policies reviewed periodically and documented.,"Attribute-based access control with full automation, audit trails, and zero-trust principles applied."
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,No visibility into where data comes from or how it’s transformed.,Partial lineage tracked manually or informally.,"Lineage and metadata managed using tools like dbt, Amundsen, or in-house solutions.",Real-time lineage available and tied to monitoring and alerting.,"Fully integrated, automatically updated lineage with impact analysis and end-to-end visibility."
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,No monitoring or guarantees for data availability/freshness.,SLAs informally defined; monitored manually.,SLAs defined for key datasets; automated freshness checks exist.,Alerts for SLA violations and data freshness; root cause analysis integrated.,"Dynamic SLA management, anomaly detection, and automatic backfills or alerts based on lineage."
Data Engineering,Data Storage & Warehousing,Environment Management,No separation between prod/dev; changes made directly.,Dev environments exist but are inconsistently used.,Separate environments (dev/staging/prod); changes deployed via manual pipelines.,CI/CD workflows manage environment changes; rollback and test capabilities exist.,Infrastructure as code; full automation of data model and infra deployment across environments.
