practice,area,capability,prompt
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,"What technologies and tools are used for data ingestion (e.g., Airbyte, Fivetran, Kafka, AWS Glue, custom pipelines)?"
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,Do you follow a unified architecture or framework for ingesting data across the organization?
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,Are batch and real-time ingestion methods both supported and documented?
Data Engineering,Data Ingestion,Data Source Coverage,How many of your critical source systems are integrated into the data platform?
Data Engineering,Data Ingestion,Data Source Coverage,"Are third-party SaaS sources (e.g., Salesforce, HubSpot, Braze) and internal systems both supported?"
Data Engineering,Data Ingestion,Data Source Coverage,How do you handle legacy or non-standard systems?
Data Engineering,Data Ingestion,Change Data Capture (CDC) & Incremental Load,Do you support incremental or CDC-based ingestion for high-volume tables?
Data Engineering,Data Ingestion,Change Data Capture (CDC) & Incremental Load,What methods do you use to detect and manage schema changes in source systems?
Data Engineering,Data Ingestion,Change Data Capture (CDC) & Incremental Load,Are full-refresh processes still used regularly for large datasets?
Data Engineering,Data Ingestion,"Monitoring, Alerting, and Failure Recovery","Do you have monitoring in place for ingestion job failures, delays, and data volume anomalies?"
Data Engineering,Data Ingestion,"Monitoring, Alerting, and Failure Recovery","Are ingestion pipelines equipped with retry logic, checkpoints, or failover mechanisms?"
Data Engineering,Data Ingestion,"Monitoring, Alerting, and Failure Recovery",How quickly can ingestion issues be detected and resolved?
Data Engineering,Data Ingestion,Data Validation & Quality Checks,"Is validation (e.g., row counts, schema matching, null detection) part of the ingestion workflow?"
Data Engineering,Data Ingestion,Data Validation & Quality Checks,"Are rejected records logged, quarantined, or rerouted for review?"
Data Engineering,Data Ingestion,Data Validation & Quality Checks,Is there a process for measuring completeness and freshness of ingested data?
Data Engineering,Data Ingestion,"Metadata, Lineage, and Documentation","Are ingested datasets automatically cataloged with metadata (e.g., source system, last updated)?"
Data Engineering,Data Ingestion,"Metadata, Lineage, and Documentation",Can you trace which ingestion pipeline brought a dataset in and when?
Data Engineering,Data Ingestion,"Metadata, Lineage, and Documentation","Is ingestion documentation (e.g., source-to-target mappings) maintained and accessible?"
Data Engineering,Data Ingestion,Security and Compliance,Are access credentials and sensitive configurations for source systems securely managed?
Data Engineering,Data Ingestion,Security and Compliance,"Is PII data handled appropriately during ingestion (e.g., masked, encrypted)?"
Data Engineering,Data Ingestion,Security and Compliance,"Are compliance requirements (e.g., GDPR, HIPAA) integrated into the ingestion process?"
Data Engineering,Data Ingestion,Operational Maturity,"Who owns and maintains ingestion pipelines—central platform team, domain teams, or both?"
Data Engineering,Data Ingestion,Operational Maturity,"Is ingestion configuration stored in version-controlled infrastructure (e.g., YAML, Terraform)?"
Data Engineering,Data Ingestion,Operational Maturity,"Can new ingestion sources be onboarded quickly (within days, hours)?"
Data Engineering,Data Storage & Warehousing,Architecture & Design,"What storage systems and data warehouses are in use (e.g., Snowflake, BigQuery, Redshift, Databricks, S3, Lakehouse)?"
Data Engineering,Data Storage & Warehousing,Architecture & Design,Is there a centralized or federated data architecture in place?
Data Engineering,Data Storage & Warehousing,Architecture & Design,"How are raw, curated, and modeled datasets separated or layered?"
Data Engineering,Data Storage & Warehousing,Schema Management & Data Modeling,"Do you use a consistent data modeling methodology (e.g., star schema, Data Vault, third normal form)?"
Data Engineering,Data Storage & Warehousing,Schema Management & Data Modeling,"How are schemas designed, versioned, and managed over time?"
Data Engineering,Data Storage & Warehousing,Schema Management & Data Modeling,Is schema documentation up to date and accessible?
