practice,area,capability,state,score,level_name
Data Engineering,Data Ingestion,Ingestion Framework & Architecture,No consistent approach or tooling; ingestion is manual or script-based.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Data Source Coverage,Only a few critical sources ingested.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Change Data Capture (CDC),Full table refreshes; no change detection logic.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Monitoring & Alerting,No monitoring or alerts; ingestion breaks discovered manually.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Validation & Quality Checks,No validation on incoming data.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Metadata & Lineage,Ingested datasets are undocumented; unclear where data came from.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Security & Compliance,Credentials hardcoded or shared; no handling of PII or compliance.,1,Initial / Ad Hoc
Data Engineering,Data Ingestion,Operational Maturity,Ingestion scripts owned by individuals; no standards.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Architecture & Design,No defined architecture; storage systems chosen ad hoc.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Schema Management & Modeling,Schemas evolve without planning; documentation absent.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Partitioning & Performance Design,No partitioning or indexing used; queries slow on large data.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Storage Scalability & Cost,Storage unmanaged; no cost visibility or archiving strategy.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Access Control & Permissions,Permissions managed manually; no visibility into who accesses what.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Data Lineage & Documentation,No visibility into where data comes from or how it’s transformed.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Reliability & SLAs,No monitoring or guarantees for data availability/freshness.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Environment Management,No separation between prod/dev; changes made directly.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Tooling & Observability,No monitoring or alerting for warehouse behavior or availability.,1,Initial / Ad Hoc
Data Engineering,Data Storage & Warehousing,Governance & Compliance,No classification of sensitive data or compliance policies in place.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Data Quality Monitoring,No formal data quality monitoring. Issues found reactively.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Data Validation & Testing,Little to no validation logic in place.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Ownership & Stewardship,No assigned data owners. Issues often go unclaimed.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Cataloging & Discoverability,No central catalog. Data discovery relies on tribal knowledge.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Data Lineage,No understanding of upstream/downstream dependencies.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Master & Reference Data Management,No authoritative sources; reference data inconsistently used.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Access Control & Classification,Access granted ad hoc; no classification of sensitive data.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Policy Enforcement & Compliance,Policies undefined or undocumented.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Change Management & Contracts,Schema changes managed manually. Breaking changes common.,1,Initial / Ad Hoc
Data Engineering,Data Quality & Governance,Incident Management & RCA,Data issues often go unnoticed or unresolved.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Modeling Approach & Standards,No consistent approach. Models vary by engineer.,1,Initial / Ad Hoc
Data Engineering,Data Modeling & Schema Design,Semantic Consistency,Metrics and terms vary between teams; confusion is common.,1,Initial / Ad Hoc
