subject_area,name,objective,activities
Product Analytics,User Behavior Analytics,"Understand how users navigate and interact with your product to identify patterns, friction points, and opportunities.","- Track and analyze user journeys (session paths, funnels)
- Identify drop-off points in core workflows
- Use heatmaps and clickstream data
- Build cohorts based on behavior"
Product Analytics,Feature Adoption & Engagement,Measure how and how often users adopt and use new or existing features.,"- Calculate feature adoption rate
- Time-to-adoption analysis
- Segment users by feature usage
- Track impact of features on retention"
Product Analytics,Retention & Churn Analysis,Maximize user retention and reduce churn by identifying at-risk users and lifecycle trends.,"- Compute retention cohorts (D1, D7, D30)
- Identify churn signals
- Predictive churn modeling
- Churn interviews"
Product Analytics,Product Experimentation & A/B Testing,Validate product decisions through controlled experiments to ensure measurable improvements.,"- Design/run A/B or multivariate tests
- Analyze impact using significance testing
- Track exposure and sample sizes
- Use sequential/Bayesian testing"
Product Analytics,Voice of Customer (VoC) & Feedback Loops,Capture user sentiment and actionable feedback to guide product improvements.,"- Analyze NPS, CSAT, CES
- Tag and theme feedback
- Monitor reviews/social listening
- Integrate survey data into product analytics"
Product Analytics,Cross-Platform Product Analytics,"Gain a unified view of user experience across devices and platforms (web, iOS, Android, etc.)","- Stitch user identities across devices
- Analyze cross-device consistency
- Normalize event schemas
- Measure platform-specific metrics"
Product Analytics,Product Analytics Infrastructure,"Ensure reliable, scalable, and trusted analytics data to support product decisions.","- Implement event tracking/CDP
- Create event taxonomy and governance
- Automate QA of event tracking
- Establish self-service dashboards"
Data Engineering,Data Ingestion,Extract data from diverse sources efficiently and reliably,"- Implement batch and streaming data ingestion
- Use standardized connectors for sources (e.g., Kafka, S3, APIs)
- Enable retry mechanisms and dead-letter queues
- Monitor ingestion latency and error rates"
Data Engineering,Data Storage & Warehousing,"Store data in scalable, cost-effective, and query-optimized ways","- Design scalable cloud-based storage solutions
- Use partitioning and clustering for performance
- Choose appropriate storage formats (e.g., Parquet, Delta)
- Optimize table structures for analytical queries"
Data Engineering,Data Transformation (ETL/ELT),"Cleanse, enrich, and format data for downstream use","- Implement modular, version-controlled transformation logic
- Use dbt or ETL tools for orchestration
- Schedule and monitor incremental model execution
- Track data lineage and dependencies"
